CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
458868525,01/08/2012,21:45:00,,,41,01/08/2012,105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,BRONX,,STREET,N.Y. POLICE DEPT,0,NA,,NA,1015839,235210,,BLACK,M,,40.812224661,-73.885885086,"(40.812224661, -73.885885086)",PATROL BORO BRONX,,45-64,WHITE HISPANIC,M
616555178,07/08/2009,01:00:00,07/08/2009,07:30:00,123,07/08/2009,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,922234,135507,,,,,40.538402271,-74.223118635,"(40.538402271, -74.223118635)",PATROL BORO STATEN ISLAND,,25-44,WHITE,F
299407177,05/28/2010,17:00:00,05/28/2010,17:25:00,103,05/28/2010,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,,INSIDE,CLOTHING/BOUTIQUE,N.Y. POLICE DEPT,0,NA,,NA,1040022,195780,,,,,40.703880099,-73.798850481,"(40.703880099, -73.798850481)",PATROL BORO QUEENS SOUTH,,,UNKNOWN,D
185343362,07/24/2008,18:15:00,07/24/2008,18:44:00,90,07/24/2008,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",ATTEMPTED,MISDEMEANOR,BROOKLYN,INSIDE,CLOTHING/BOUTIQUE,N.Y. POLICE DEPT,0,NA,,NA,1000264,194819,25-44,WHITE HISPANIC,M,,40.701403645,-73.942246491,"(40.701403645, -73.942246491)",PATROL BORO BKLYN NORTH,,,UNKNOWN,D
997542823,09/03/2011,01:00:00,09/03/2011,02:30:00,1,09/06/2011,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,BAR/NIGHT CLUB,N.Y. POLICE DEPT,0,NA,,NA,982594,197703,25-44,BLACK,F,,40.709333881,-74.005974568,"(40.709333881, -74.005974568)",PATROL BORO MAN SOUTH,,25-44,WHITE,M
374747335,09/20/2016,19:45:00,09/20/2016,19:51:00,13,09/20/2016,109,GRAND LARCENY,418,"LARCENY,GRAND BY ACQUIRING LOST CREDIT CARD",COMPLETED,FELONY,MANHATTAN,INSIDE,BANK,N.Y. POLICE DEPT,0,,,NA,987583,210248,,,,,40.743766388,-73.987973246,"(40.743766388, -73.987973246)",PATROL BORO MAN SOUTH,,UNKNOWN,UNKNOWN,M
278286136,12/20/2012,12:00:00,12/21/2012,01:00:00,71,12/21/2012,109,GRAND LARCENY,413,"LARCENY,GRAND BY FALSE PROMISE",COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1001413,182730,,,,,40.668219951,-73.938133382,"(40.668219951, -73.938133382)",PATROL BORO BKLYN SOUTH,,,UNKNOWN,F
976962778,03/20/2012,22:00:00,,,77,03/20/2012,235,DANGEROUS DRUGS,511,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,NA,,365,1005078,185394,,,,,40.675524169,-73.924913805,"(40.675524169, -73.924913805)",PATROL BORO BKLYN NORTH,,,UNKNOWN,E
997960887,05/03/2012,04:55:00,05/03/2012,05:15:00,44,05/03/2012,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,BRONX,,STREET,N.Y. POLICE DEPT,0,NA,,NA,1004429,244818,,,,,40.838629312,-73.927075192,"(40.838629312, -73.927075192)",PATROL BORO BRONX,,,UNKNOWN,M
128909418,12/15/2010,08:31:00,12/15/2010,09:05:00,5,12/15/2010,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,MANHATTAN,,TRANSIT - NYC SUBWAY,N.Y. TRANSIT POLICE,1,NA,,NA,985961,200916,,,,4,40.718152791,-73.993829126,"(40.718152791, -73.993829126)",PATROL BORO MAN SOUTH,GRAND STREET,25-44,BLACK,M
226331832,07/11/2009,12:45:00,,,102,07/11/2009,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,QUEENS,,PARK/PLAYGROUND,N.Y. POLICE DEPT,0,NA,,NA,1029708,189642,,UNKNOWN,U,,40.687091736,-73.836090958,"(40.687091736, -73.836090958)",PATROL BORO QUEENS SOUTH,,25-44,BLACK,M
348116381,03/27/2014,20:00:00,05/01/2014,01:24:00,105,05/05/2014,126,MISCELLANEOUS PENAL LAW,198,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,,,NA,1046746,182127,25-44,BLACK,M,,40.666360918,-73.774725995,"(40.666360918, -73.774725995)",PATROL BORO QUEENS SOUTH,,25-44,BLACK,F
822224006,10/16/2014,05:00:00,,,70,10/16/2014,126,MISCELLANEOUS PENAL LAW,198,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,NA,995294,176595,45-64,BLACK,M,,40.651390471,-73.960200798,"(40.651390471, -73.960200798)",PATROL BORO BKLYN SOUTH,,,UNKNOWN,F
264766121,01/15/2013,14:15:00,,,77,01/15/2013,359,OFFENSES AGAINST PUBLIC ADMINI,749,VIOLATION OF ORDER OF PROTECTI,COMPLETED,MISDEMEANOR,BROOKLYN,,PUBLIC BUILDING,N.Y. POLICE DEPT,0,NA,,NA,1000423,185111,25-44,BLACK HISPANIC,F,,40.674757125,-73.941696356,"(40.674757125, -73.941696356)",PATROL BORO BKLYN NORTH,,25-44,UNKNOWN,M
728969353,12/26/2008,20:30:00,12/26/2008,20:40:00,109,12/27/2008,126,MISCELLANEOUS PENAL LAW,198,CRIMINAL CONTEMPT 1,COMPLETED,FELONY,QUEENS,INSIDE,GYM/FITNESS FACILITY,N.Y. POLICE DEPT,0,NA,,NA,1030928,217007,25-44,ASIAN / PACIFIC ISLANDER,F,,40.762195543,-73.831502148,"(40.762195543, -73.831502148)",PATROL BORO QUEENS NORTH,,45-64,ASIAN / PACIFIC ISLANDER,M
605975658,05/29/2010,17:30:00,,,14,05/29/2010,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,MANHATTAN,INSIDE,SMALL MERCHANT,N.Y. POLICE DEPT,0,NA,,NA,989293,212289,,UNKNOWN,M,,40.749367611,-73.98180063,"(40.749367611, -73.98180063)",PATROL BORO MAN SOUTH,,25-44,BLACK,M
312143826,03/15/2008,01:00:00,03/15/2008,10:00:00,88,03/15/2008,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,BROOKLYN,OPPOSITE OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,993847,190965,,,,,40.690834595,-73.965395075,"(40.690834595, -73.965395075)",PATROL BORO BKLYN NORTH,,25-44,ASIAN / PACIFIC ISLANDER,M
564081283,06/10/2015,22:00:00,,,107,06/12/2015,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,QUEENS,INSIDE,STREET,N.Y. POLICE DEPT,0,,,NA,1034452,199872,,,,,40.715145001,-73.818909039,"(40.715145001, -73.818909039)",PATROL BORO QUEENS SOUTH,,,UNKNOWN,M
